postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
N4 4LX,E09000014,92.63073424429702,3380.0,2,1,flat,51.57049406302251,-0.1051936938906752,2025-11-24,2025-12-24,True,91.695261
SE1 4YG,E09000028,23.641484686942793,2200.0,2,1,flat,51.498221639357645,-0.0903571355470876,2025-11-24,2025-12-24,True,
N8 9BT,E09000014,66.67985838153666,2200.0,2,1,flat,51.58242810663684,-0.120095105891126,2025-11-24,2025-12-24,False,
SE1 4YG,E09000028,23.641484686942793,1950.0,2,1,flat,51.498221639357645,-0.0903571355470876,2025-11-24,2025-12-24,True,
NW8 9JQ,E09000033,8.116477140823335,2850.0,2,1,flat,51.53176616828676,-0.1747474592952612,2025-11-24,2025-12-24,False,
EC1Y 2BQ,E09000019,30.84671587376325,2200.0,1,1,flat,51.523131379234975,-0.0879612382513661,2025-11-24,2025-12-24,False,48.774075
N17 6RX,E09000014,35.77974370089573,1900.0,1,1,flat,51.59727715599534,-0.0710098649592549,2025-11-24,2025-12-24,False,
SW11 2JL,E09000032,31.244997681328407,4225.0,2,2,flat,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,79.432065
SW6 5TJ,E09000013,15.307056527901745,2700.0,1,1,flat,51.47743543582988,-0.2004099574708317,2025-11-24,2025-12-24,True,
TW1 3JD,E09000027,78.19888918056455,2950.0,3,2,house,51.45103968561873,-0.3279947337792642,2025-11-24,2025-12-24,False,
SW6 5TJ,E09000013,15.307056527901745,5300.0,3,2,flat,51.47743543582988,-0.2004099574708317,2025-11-24,2025-12-24,False,0.092903
NW8 9JQ,E09000033,8.116477140823335,2200.0,1,1,flat,51.53176616828676,-0.1747474592952612,2025-11-24,2025-12-24,True,
N4 4LX,E09000014,92.63073424429702,1500.0,1,20,room,51.57049406302251,-0.1051936938906752,2025-11-24,2025-12-24,True,
N14 5ST,E09000010,47.615989812453684,1378.0,1,1,flat,51.633305540563626,-0.1299988736122971,2025-11-24,2025-12-24,True,
N11 1RR,E09000010,34.77210330480844,2200.0,3,2,flat,51.61396043512974,-0.137539492015968,2025-11-24,2025-12-24,False,
N5 1QJ,E09000019,9.49864318010253,1712.0,1,1,flat,51.55378832054455,-0.0985805544554455,2025-11-24,2025-12-24,,
SW1H 9AB,E09000033,138.19864604270566,3467.0,1,1,flat,51.501977056497175,-0.1338926892655367,2025-11-24,2025-12-24,True,
E8 3EW,E09000012,59.4298190147438,1600.0,1,1,flat,51.54109474665677,-0.0648770995542347,2025-11-24,2025-12-24,False,
WC2A 3YP,E09000007,46.634894945044465,4140.0,1,1,flat,51.51609436697248,-0.1153898600917431,2025-11-24,2025-12-24,True,38.09023
NW2 6QW,E09000003,28.960679538328545,1395.0,1,1,flat,51.55944741702293,-0.2183188449280994,2025-11-24,2025-12-24,True,
NW2 6QW,E09000003,28.960679538328545,3500.0,3,2,flat,51.55944741702293,-0.2183188449280994,2025-11-24,2025-12-24,False,0.092903
SW11 2JL,E09000032,31.244997681328407,4750.0,4,2,house,51.46722465169425,-0.1637842253743104,2025-11-24,2025-12-24,True,
W4 4JB,E09000018,16.03821145554842,2500.0,3,1,flat,51.49140459244728,-0.2635797086807258,2025-11-24,2025-12-24,False,
W8 7DT,E09000020,15.317557461010553,17333.0,3,3,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,0.092903
