name,lat,lon,railway,station,public_transport,network,line
Piccadilly Circus,51.5098192,-0.1345484,station,subway,station,London Underground,Piccadilly;Bakerloo
Waterloo,51.5030015,-0.1139812,station,subway,station,London Underground,Jubilee;Northern;Bakerloo;Waterloo & City
Charing Cross,51.5079664,-0.1263945,station,subway,station,London Underground,Bakerloo;Northern
Elephant & Castle,51.4948884,-0.1005731,station,subway,station,London Underground,Bakerloo;Northern
Euston,51.5282865,-0.1338745,station,subway,station,London Underground,Northern;Victoria
Holborn,51.5171149,-0.1200657,station,subway,station,London Underground,Central;Piccadilly
Wimbledon Park,51.4340563,-0.1990432,station,subway,station,London Underground,District
Ravenscourt Park,51.4941293,-0.2357932,station,subway,station,London Underground,District
Blackfriars,51.5115854,-0.1037671,station,subway,station,London Underground,Circle;District
Lambeth North,51.4989328,-0.1120142,station,subway,station,London Underground,Bakerloo
Aldgate,51.5142477,-0.0757186,station,subway,station,London Underground,Metropolitan
Seven Sisters,51.5824738,-0.0749325,station,subway,station,National Rail;London Underground;London Overground,Victoria
Southfields,51.4457751,-0.2066142,station,subway,station,London Underground,District
Vauxhall,51.4860091,-0.1248604,station,subway,station,Elizabeth line,Victoria
South Ealing,51.5008623,-0.3076815,station,subway,station,London Underground,Piccadilly
Upton Park,51.5351062,0.0339842,station,subway,station,London Underground,District;Hammersmith & City
Clapham Common,51.4620748,-0.1373589,station,subway,station,London Underground,Northern
White City,51.5119347,-0.2242361,station,subway,station,London Underground,Central
Paddington,51.5185075,-0.1787546,station,subway,station,London Underground,Circle;Hammersmith & City
South Woodford,51.5917798,0.0274276,station,subway,station,London Underground,Central
West Ruislip,51.5695047,-0.4370447,station,subway,station,National Rail;London Underground,Central
Aldgate East,51.5156185,-0.070839,station,subway,station,London Underground,District;Hammersmith & City
Parsons Green,51.4750837,-0.201549,station,subway,station,London Underground,District
Fulham Broadway,51.4808834,-0.1943493,station,subway,station,London Underground,District
Plaistow,51.5311544,0.0166833,station,subway,station,London Underground,District;Hammersmith & City
Bow Road,51.5268535,-0.024789,station,subway,station,London Underground,District;Hammersmith & City
Stepney Green,51.5217026,-0.0467147,station,subway,station,London Underground,District;Hammersmith & City
Oakwood,51.6473302,-0.1312548,station,subway,station,London Underground,Piccadilly
West Kensington,51.4907023,-0.2059442,station,subway,station,London Underground,District
West Brompton,51.4869765,-0.1951854,station,subway,station,London Underground;London Overground,District
Boston Manor,51.4953386,-0.3254399,station,subway,station,London Underground,Piccadilly
Heathrow Terminals 2 & 3,51.4713416,-0.452483,station,subway,station,Elizabeth line,Piccadilly
Heathrow Terminal 5,51.472515,-0.4877331,station,subway,station,London Underground,Piccadilly
Knightsbridge,51.5015961,-0.160937,station,subway,station,London Underground,Piccadilly
Hounslow West,51.4735822,-0.3858181,station,subway,station,London Underground,Piccadilly
Mornington Crescent,51.5340608,-0.1380918,station,subway,station,London Underground,Northern
Hounslow East,51.4734727,-0.3558944,station,subway,station,London Underground,Piccadilly
Hounslow Central,51.471307,-0.3662332,station,subway,station,London Underground,Piccadilly
Southgate,51.6323183,-0.1277858,station,subway,station,London Underground,Piccadilly
Cockfosters,51.651366,-0.1485149,station,subway,station,London Underground,Piccadilly
Burnt Oak,51.6028082,-0.2640125,station,subway,station,London Underground,Northern
Putney Bridge,51.4682995,-0.2087947,station,subway,station,London Underground,District
Northfields,51.4996647,-0.312979,station,subway,station,London Underground,Piccadilly
London Bridge,51.5054118,-0.0886993,station,subway,station,London Underground,Jubilee;Northern
Hyde Park Corner,51.5027264,-0.1543249,station,subway,station,London Underground,Piccadilly
Lancaster Gate,51.5118458,-0.175108,station,subway,station,London Underground,Central
Newbury Park,51.5754985,0.0899693,station,subway,station,London Underground,Central
Moor Park,51.6297793,-0.4321576,station,subway,station,London Underground,Metropolitan
Rickmansworth,51.6402275,-0.4736305,station,subway,station,National Rail;London Underground,Metropolitan
Ealing Common,51.5097107,-0.2881658,station,subway,station,London Underground,District;Piccadilly
Kingsbury,51.5843174,-0.2787137,station,subway,station,London Underground,Jubilee
Queensbury,51.5941903,-0.286181,station,subway,station,London Underground,Jubilee
Northwick Park,51.578491,-0.3176997,station,subway,station,London Underground,Metropolitan
Preston Road,51.5722732,-0.2958081,station,subway,station,London Underground,Metropolitan
Finchley Road,51.5472307,-0.1806964,station,subway,station,London Underground,Metropolitan;Jubilee
West Harrow,51.5795991,-0.3531364,station,subway,station,London Underground,Metropolitan
Eastcote,51.5766614,-0.3965092,station,subway,station,London Underground,Metropolitan;Piccadilly
Ickenham,51.5615698,-0.4423513,station,subway,station,London Underground,Metropolitan;Piccadilly
Pinner,51.5926589,-0.380635,station,subway,station,London Underground,Metropolitan
Northwood Hills,51.6001534,-0.4084575,station,subway,station,London Underground,Metropolitan
Northwood,51.6107965,-0.4237072,station,subway,station,London Underground,Metropolitan
Croxley,51.6475825,-0.4410785,station,subway,station,London Underground,Metropolitan
Watford,51.6570048,-0.4183683,station,subway,station,London Underground,Metropolitan
Leytonstone,51.5688027,0.0086166,station,subway,station,London Underground,Central
Harrow-on-the-Hill,51.5792702,-0.3366561,station,subway,station,National Rail;London Underground,Metropolitan
Acton Town,51.5027051,-0.2799643,station,subway,station,London Underground,District;Piccadilly
South Kensington,51.4940799,-0.1729072,station,subway,station,London Underground,Piccadilly;District;Circle
Edgware Road,51.5204575,-0.1702993,station,subway,station,London Underground,Bakerloo
Marylebone,51.5222363,-0.1635046,station,subway,station,London Underground,Bakerloo
Embankment,51.5072143,-0.1222409,station,subway,station,London Underground,District;Bakerloo;Northern;Circle
Notting Hill Gate,51.5089252,-0.1961978,station,subway,station,London Underground,District;Central;Circle
West Ham,51.5280966,0.0045685,station,light_rail;subway,station,National Rail;London Underground;Docklands Light Railway,District;Hammersmith & City;Jubilee
