price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
3700.0,3,1,house,51.5096821066823,-0.3350741207502931,2025-11-24,2025-12-24,False,
2300.0,2,1,flat,51.539223795265904,-0.24892211558561328,2025-11-24,2025-12-24,,
2300.0,2,1,flat,51.539223795265904,-0.24892211558561328,2025-11-24,2025-12-24,False,
8502.0,4,3,house,51.49140459244728,-0.26357970868072583,2025-11-24,2025-12-24,False,0.185806
2200.0,1,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,56.485024
2350.0,1,1,flat,51.49650520565371,-0.17651378798586573,2025-11-24,2025-12-24,True,35.024431
3500.0,6,3,house,51.55854584270242,-0.2899978896338319,2025-11-24,2025-12-24,True,
1900.0,2,2,flat,51.50063797532468,-0.3802552974025974,2025-11-24,2025-12-24,False,
2000.0,1,1,flat,51.523169987755104,-0.19413968734693876,2025-11-24,2025-12-24,True,37.718618
5308.0,3,2,flat,51.49068898303572,-0.13942765625,2025-11-24,2025-12-24,True,81.75464
3380.0,2,1,flat,51.57049406302251,-0.10519369389067523,2025-11-24,2025-12-24,True,91.695261
2200.0,2,1,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
2200.0,2,1,flat,51.58242810663684,-0.12009510589112603,2025-11-24,2025-12-24,False,
1950.0,2,1,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
2850.0,2,1,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,False,
2200.0,1,1,flat,51.523131379234975,-0.08796123825136612,2025-11-24,2025-12-24,False,48.774074999999996
1900.0,1,1,flat,51.59727715599534,-0.07100986495925496,2025-11-24,2025-12-24,False,
4225.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,79.432065
2700.0,1,1,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,True,
2950.0,3,2,house,51.45103968561873,-0.3279947337792642,2025-11-24,2025-12-24,False,
5300.0,3,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,False,0.092903
2200.0,1,1,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,True,
1500.0,1,20,room,51.57049406302251,-0.10519369389067523,2025-11-24,2025-12-24,True,
1378.0,1,1,flat,51.633305540563626,-0.12999887361229717,2025-11-24,2025-12-24,True,
2200.0,3,2,flat,51.61396043512974,-0.13753949201596807,2025-11-24,2025-12-24,False,
1712.0,1,1,flat,51.55378832054455,-0.09858055445544554,2025-11-24,2025-12-24,,
3467.0,1,1,flat,51.501977056497175,-0.13389268926553674,2025-11-24,2025-12-24,True,
1600.0,1,1,flat,51.54109474665677,-0.06487709955423476,2025-11-24,2025-12-24,False,
4140.0,1,1,flat,51.51609436697248,-0.11538986009174311,2025-11-24,2025-12-24,True,38.09023
1395.0,1,1,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,True,
3500.0,3,2,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,False,0.092903
4750.0,4,2,house,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
2500.0,3,1,flat,51.49140459244728,-0.26357970868072583,2025-11-24,2025-12-24,False,
17333.0,3,3,flat,51.50041303916273,-0.19542366306549627,2025-11-24,2025-12-24,True,0.092903
2450.0,1,1,flat,51.487943556899396,-0.16460576745464542,2025-11-24,2025-12-24,True,
930.0,1,1,room,51.436488875,-0.441384,2025-11-24,2025-12-24,True,
3033.0,2,2,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,False,
2300.0,2,1,flat,51.59391036769078,-0.14430206442021803,2025-11-24,2025-12-24,True,
8000.0,3,3,flat,51.51897691409692,-0.12652637224669605,2025-11-24,2025-12-24,True,
2799.0,2,2,house,51.5715012619883,-0.14083055672514622,2025-11-24,2025-12-24,False,
1650.0,1,1,flat,51.559351937021276,-0.054604771063829785,2025-11-24,2025-12-24,False,
1450.0,1,1,flat,51.506986093429155,-0.4713399445585216,2025-11-24,2025-12-24,True,
8880.0,3,3,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,False,
2201.0,1,1,flat,51.523131379234975,-0.08796123825136612,2025-11-24,2025-12-24,False,
2500.0,2,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,65.96113
5499.0,3,2,flat,51.49650520565371,-0.17651378798586573,2025-11-24,2025-12-24,False,
7000.0,5,4,house,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,False,0.092903
1450.0,1,1,flat,51.51229285343384,-0.37658017085427137,2025-11-24,2025-12-24,True,
4465.0,2,2,flat,51.537578291428574,-0.09824299628571428,2025-11-24,2025-12-24,False,
4500.0,2,2,flat,51.512659474489794,-0.07978143877551021,2025-11-24,2025-12-24,False,
2500.0,2,2,flat,51.55014615153374,-0.30468061104294475,2025-11-24,2025-12-24,False,
4247.0,2,2,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,87.979141
3500.0,3,3,flat,51.64820061426979,-0.1620663076923077,2025-11-24,2025-12-24,False,
2500.0,3,2,house,51.6251295,-0.49269175,2025-11-24,2025-12-24,False,
2652.0,1,1,flat,51.48966819650067,-0.18958200269179004,2025-11-24,2025-12-24,True,3.251605
3000.0,2,1,flat,51.446189938693465,-0.14993299396984927,2025-11-24,2025-12-24,True,
2300.0,1,1,flat,51.53176616828676,-0.17474745929526125,2025-11-24,2025-12-24,True,
4117.0,1,1,flat,51.498221639357645,-0.09035713554708764,2025-11-24,2025-12-24,True,
3790.0,3,2,house,51.41627638964844,-0.290791072265625,2025-11-24,2025-12-24,False,
2650.0,1,1,flat,51.51281079468151,-0.21924794867037725,2025-11-24,2025-12-24,True,73.672079
3000.0,1,1,flat,51.49650520565371,-0.17651378798586573,2025-11-24,2025-12-24,True,64.10307
3683.0,1,1,flat,51.46722465169425,-0.16378422537431048,2025-11-24,2025-12-24,True,
3878.0,3,2,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,,
2015.0,1,1,flat,51.492469131909544,-0.2311194302763819,2025-11-24,2025-12-24,True,
4745.0,2,2,flat,51.48885917126725,-0.13352914680050187,2025-11-24,2025-12-24,True,88.908171
7000.0,3,2,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
2950.0,3,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,False,
6500.0,3,2,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,
1798.0,1,1,flat,51.49140459244728,-0.26357970868072583,2025-11-24,2025-12-24,,
4550.0,2,2,flat,51.48885917126725,-0.13352914680050187,2025-11-24,2025-12-24,True,88.908171
1842.0,1,1,flat,51.48856282182438,-0.09473586956521739,2025-11-24,2025-12-24,True,
2300.0,2,1,house,51.64820061426979,-0.1620663076923077,2025-11-24,2025-12-24,,
2817.0,1,1,flat,51.47743543582988,-0.20040995747083173,2025-11-24,2025-12-24,True,
3800.0,2,2,flat,51.50949878888889,-0.2397802619883041,2025-11-24,2025-12-24,True,
2300.0,2,2,flat,51.58242810663684,-0.12009510589112603,2025-11-24,2025-12-24,False,65.775324
